date, venue, home, away, hscore, ascore, hpens, apens, winner
17 Jun 1954,Berne ,Germany FR,Turkey,4,1,NA,NA,Germany FR
17 Jun 1954,Zurich ,Hungary,Korea Republic,9,0,NA,NA,Hungary
20 Jun 1954,Basel ,Hungary,Germany FR,8,3,NA,NA,Hungary
20 Jun 1954,Geneva ,Turkey,Korea Republic,7,0,NA,NA,Turkey
23 Jun 1954,Zurich ,Germany FR,Turkey,7,2,NA,NA,Germany FR
16 Jun 1954,Berne ,Uruguay,Czechoslovakia,2,0,NA,NA,Uruguay
16 Jun 1954,Zurich ,Austria,Scotland,1,0,NA,NA,Austria
19 Jun 1954,Zurich ,Austria,Czechoslovakia,5,0,NA,NA,Austria
19 Jun 1954,Basel ,Uruguay,Scotland,7,0,NA,NA,Uruguay
17 Jun 1954,Basel ,England,Belgium,4,4,NA,NA,D
17 Jun 1954,Lausanne ,Switzerland,Italy,2,1,NA,NA,Switzerland
20 Jun 1954,Berne ,England,Switzerland,2,0,NA,NA,England
20 Jun 1954,Lugano ,Italy,Belgium,4,1,NA,NA,Italy
23 Jun 1954,Basel ,Switzerland,Italy,4,1,NA,NA,Switzerland
27 Jun 1954,Geneva ,Germany FR,Yugoslavia,2,0,NA,NA,Germany FR
27 Jun 1954,Berne ,Hungary,Brazil,4,2,NA,NA,Hungary
26 Jun 1954,Lausanne ,Austria,Switzerland,7,5,NA,NA,Austria
26 Jun 1954,Basel ,Uruguay,England,4,2,NA,NA,Uruguay
30 Jun 1954,Basel ,Germany FR,Austria,6,1,NA,NA,Germany FR
30 Jun 1954,Lausanne ,Hungary,Uruguay,4,2,NA,NA,Hungary
03 Jul 1954,Zurich ,Austria,Uruguay,3,1,NA,NA,Austria
04 Jul 1954,Berne ,Germany FR,Hungary,3,2,NA,NA,Germany FR
08 Jun 1958,Malm ,Argentina,Germany FR,1,3,NA,NA,Germany FR
08 Jun 1958,Halmstad ,Northern Ireland,Czechoslovakia,1,0,NA,NA,Northern Ireland
11 Jun 1958,Helsingborg ,Germany FR,Czechoslovakia,2,2,NA,NA,D
11 Jun 1958,Halmstad ,Argentina,Northern Ireland,3,1,NA,NA,Argentina
15 Jun 1958,Malm ,Germany FR,Northern Ireland,2,2,NA,NA,D
15 Jun 1958,Helsingborg ,Czechoslovakia,Argentina,6,1,NA,NA,Czechoslovakia
17 Jun 1958,Malm ,Northern Ireland,Czechoslovakia,2,1,NA,NA,Northern Ireland
08 Jun 1958,NorrkPing ,France,Paraguay,7,3,NA,NA,France
08 Jun 1958,Vasteras ,Yugoslavia,Scotland,1,1,NA,NA,D
11 Jun 1958,NorrkPing ,Paraguay,Scotland,3,2,NA,NA,Paraguay
11 Jun 1958,Vasteras ,Yugoslavia,France,3,2,NA,NA,Yugoslavia
15 Jun 1958,Eskilstuna ,Paraguay,Yugoslavia,3,3,NA,NA,D
15 Jun 1958,Orebro ,France,Scotland,2,1,NA,NA,France
08 Jun 1958,Solna ,Sweden,Mexico,3,0,NA,NA,Sweden
08 Jun 1958,Sandviken ,Hungary,Wales,1,1,NA,NA,D
11 Jun 1958,Solna ,Mexico,Wales,1,1,NA,NA,D
12 Jun 1958,Solna ,Sweden,Hungary,2,1,NA,NA,Sweden
15 Jun 1958,Solna ,Sweden,Wales,0,0,NA,NA,D
15 Jun 1958,Sandviken ,Hungary,Mexico,4,0,NA,NA,Hungary
17 Jun 1958,Solna ,Wales,Hungary,2,1,NA,NA,Wales
08 Jun 1958,Gothenburg ,Soviet Union,England,2,2,NA,NA,D
08 Jun 1958,Udevalla ,Brazil,Austria,3,0,NA,NA,Brazil
11 Jun 1958,Gothenburg ,Brazil,England,0,0,NA,NA,D
11 Jun 1958,Boras ,Soviet Union,Austria,2,0,NA,NA,Soviet Union
15 Jun 1958,Gothenburg ,Brazil,Soviet Union,2,0,NA,NA,Brazil
15 Jun 1958,Boras ,England,Austria,2,2,NA,NA,D
17 Jun 1958,Gothenburg ,Soviet Union,England,1,0,NA,NA,Soviet Union
19 Jun 1958,Solna ,Sweden,Soviet Union,2,0,NA,NA,Sweden
19 Jun 1958,NorrkPing ,France,Northern Ireland,4,0,NA,NA,France
19 Jun 1958,Gothenburg ,Brazil,Wales,1,0,NA,NA,Brazil
19 Jun 1958,Malm ,Germany FR,Yugoslavia,1,0,NA,NA,Germany FR
24 Jun 1958,Solna ,Brazil,France,5,2,NA,NA,Brazil
24 Jun 1958,Gothenburg ,Sweden,Germany FR,3,1,NA,NA,Sweden
28 Jun 1958,Gothenburg ,France,Germany FR,6,3,NA,NA,France
29 Jun 1958,Solna ,Brazil,Sweden,5,2,NA,NA,Brazil
30 May 1962,Arica ,Uruguay,Colombia,2,1,NA,NA,Uruguay
31 May 1962,Arica ,Soviet Union,Yugoslavia,2,0,NA,NA,Soviet Union
02 Jun 1962,Arica ,Yugoslavia,Uruguay,3,1,NA,NA,Yugoslavia
03 Jun 1962,Arica ,Soviet Union,Colombia,4,4,NA,NA,D
06 Jun 1962,Arica ,Soviet Union,Uruguay,2,1,NA,NA,Soviet Union
07 Jun 1962,Arica ,Yugoslavia,Colombia,5,0,NA,NA,Yugoslavia
30 May 1962,Santiago De Chile ,Chile,Switzerland,3,1,NA,NA,Chile
31 May 1962,Santiago De Chile ,Germany FR,Italy,0,0,NA,NA,D
02 Jun 1962,Santiago De Chile ,Chile,Italy,2,0,NA,NA,Chile
03 Jun 1962,Santiago De Chile ,Germany FR,Switzerland,2,1,NA,NA,Germany FR
06 Jun 1962,Santiago De Chile ,Germany FR,Chile,2,0,NA,NA,Germany FR
07 Jun 1962,Santiago De Chile ,Italy,Switzerland,3,0,NA,NA,Italy
30 May 1962,Vina Del Mar ,Brazil,Mexico,2,0,NA,NA,Brazil
31 May 1962,Vina Del Mar ,Czechoslovakia,Spain,1,0,NA,NA,Czechoslovakia
02 Jun 1962,Vina Del Mar ,Brazil,Czechoslovakia,0,0,NA,NA,D
03 Jun 1962,Vina Del Mar ,Spain,Mexico,1,0,NA,NA,Spain
06 Jun 1962,Vina Del Mar ,Brazil,Spain,2,1,NA,NA,Brazil
07 Jun 1962,Vina Del Mar ,Mexico,Czechoslovakia,3,1,NA,NA,Mexico
30 May 1962,Rancagua ,Argentina,Bulgaria,1,0,NA,NA,Argentina
31 May 1962,Rancagua ,Hungary,England,2,1,NA,NA,Hungary
02 Jun 1962,Rancagua ,England,Argentina,3,1,NA,NA,England
03 Jun 1962,Rancagua ,Hungary,Bulgaria,6,1,NA,NA,Hungary
06 Jun 1962,Rancagua ,Hungary,Argentina,0,0,NA,NA,D
07 Jun 1962,Rancagua ,England,Bulgaria,0,0,NA,NA,D
10 Jun 1962,Arica ,Chile,Soviet Union,2,1,NA,NA,Chile
10 Jun 1962,Santiago De Chile ,Yugoslavia,Germany FR,1,0,NA,NA,Yugoslavia
10 Jun 1962,Vina Del Mar ,Brazil,England,3,1,NA,NA,Brazil
10 Jun 1962,Rancagua ,Czechoslovakia,Hungary,1,0,NA,NA,Czechoslovakia
